systolic_mmhg,diastolic_mmhg,map_mmhg,respiration_bpm,r1_pi_value,r2_pi_value,r3_pr_bpm_value,r3_pi_value,r1_events,r2_events,r3_events
64,50,55,13,0.62,3.7,113.0,1.3,,,
66,51,57,13,0.61,3.7,114.0,1.3,,,
68,51,58,13,0.61,3.7,114.0,1.3,,,
66,51,57,13,0.61,3.7,114.0,1.3,,,
71,53,60,13,0.61,3.7,113.0,1.3,,,
74,54,62,13,0.61,3.7,114.0,1.3,,,
72,53,61,14,0.61,3.7,114.0,1.3,,,
72,54,61,13,0.61,3.7,114.0,1.3,,,
73,54,62,13,0.61,3.7,114.0,1.3,,,
72,54,61,13,0.61,3.7,115.0,1.3,,,
72,54,61,13,0.61,3.7,115.0,1.3,,,
73,54,62,13,0.61,3.6,114.0,1.3,,,
74,54,62,13,0.61,3.6,114.0,1.3,,,
74,54,62,13,0.61,3.6,114.0,1.3,,,
73,54,62,13,0.61,3.6,114.0,1.3,,,
72,54,61,14,0.61,3.6,114.0,1.3,,,
76,55,63,14,0.61,3.6,114.0,1.3,,,
74,55,63,14,0.61,3.6,115.0,1.3,,,
74,55,62,14,0.61,3.6,115.0,1.3,,,
74,55,63,14,0.61,3.6,115.0,1.3,,,
75,55,63,14,0.61,3.6,114.0,1.3,,,
76,55,63,14,0.61,3.6,114.0,1.3,,,
75,55,63,13,0.61,3.6,114.0,1.3,,,
74,54,62,13,0.61,3.6,114.0,1.3,,,
74,54,62,13,0.61,3.6,113.0,1.3,,,
74,54,62,13,0.61,3.6,113.0,1.3,,,
72,54,61,13,0.61,3.6,113.0,1.3,,,
72,54,61,13,0.61,3.6,113.0,1.3,,,
72,54,61,13,0.61,3.6,113.0,1.3,,,
74,54,62,13,0.61,3.6,113.0,1.3,,,
74,55,62,13,0.61,3.6,113.0,1.3,,,
74,55,62,13,0.61,3.6,113.0,1.3,,,
76,56,64,13,0.61,3.6,113.0,1.3,,,
76,56,64,13,0.61,3.6,113.0,1.3,,,
75,55,63,13,0.61,3.6,113.0,1.3,,,
74,54,62,13,0.62,3.6,113.0,1.3,,,
73,54,62,13,0.62,3.6,113.0,1.3,,,
74,54,62,13,0.62,3.6,113.0,1.3,,,
74,54,62,13,0.62,3.6,113.0,1.3,,,
75,55,63,13,0.62,3.6,113.0,1.3,,,
75,55,63,13,0.62,3.6,113.0,1.3,,,
76,55,64,13,0.62,3.6,112.0,1.3,,,
76,55,64,13,0.62,3.6,112.0,1.3,,,
76,56,64,13,0.62,3.6,112.0,1.3,,,
77,56,65,13,0.62,3.6,112.0,1.3,,,
77,56,65,13,0.62,3.6,112.0,1.3,,,
77,56,65,13,0.62,3.6,112.0,1.3,,,
76,55,64,13,0.62,3.6,112.0,1.3,,,
77,56,65,13,0.62,3.6,112.0,1.3,,,
71,53,60,14,0.62,3.6,112.0,1.3,,,
72,53,60,14,0.62,3.6,112.0,1.3,,,
73,54,61,14,0.62,3.6,112.0,1.3,,,
73,54,61,14,0.62,3.6,112.0,1.3,,,
71,53,60,14,0.62,3.6,112.0,1.3,,,
71,53,60,13,0.62,3.6,112.0,1.3,,,
71,53,60,13,0.62,3.6,112.0,1.3,,,
71,53,60,13,0.63,3.6,113.0,1.3,,,
70,53,60,13,0.63,3.6,113.0,1.3,,,
72,54,61,13,0.63,3.6,114.0,1.3,,,
72,54,61,13,0.63,3.6,113.0,1.3,,,
72,54,61,13,0.63,3.5,114.0,1.3,,,
72,54,61,13,0.63,3.5,112.0,1.3,,,
72,53,60,13,0.63,3.5,113.0,1.3,,,
72,53,60,13,0.63,3.5,113.0,1.3,,,
72,53,60,13,0.63,3.5,113.0,1.3,,,
72,54,61,13,0.64,3.5,113.0,1.3,,,
72,54,61,13,0.64,3.5,113.0,1.3,,,
73,54,61,13,0.64,3.5,112.0,1.3,,,
73,54,61,13,0.64,3.5,113.0,1.3,,,
73,54,61,13,0.64,3.5,112.0,1.3,,,
73,54,61,13,0.64,3.5,112.0,1.3,,,
73,54,61,13,0.64,3.5,112.0,1.3,,,
73,54,61,13,0.64,3.5,112.0,1.3,,,
72,54,61,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.64,3.5,112.0,1.3,,,
72,53,60,13,0.64,3.5,112.0,1.3,,,
72,53,60,13,0.64,3.5,112.0,1.3,,,
72,53,60,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.64,3.5,112.0,1.3,,,
71,53,60,13,0.65,3.5,112.0,1.3,,,
72,53,60,13,0.65,3.5,112.0,1.3,,,
72,54,61,13,0.64,3.5,112.0,1.3,,,
73,54,61,13,0.64,3.5,113.0,1.3,,,
74,55,62,13,0.64,3.5,113.0,1.3,,,
74,54,62,13,0.64,3.5,113.0,1.3,,,
74,55,62,13,0.65,3.5,113.0,1.4,,,
74,55,62,13,0.65,3.5,112.0,1.4,,,
74,55,62,13,0.65,3.5,112.0,1.4,,,
74,55,62,13,0.65,3.5,112.0,1.4,,,
74,54,62,13,0.65,3.5,112.0,1.4,,,
75,55,63,13,0.65,3.5,112.0,1.4,,,
74,54,62,13,0.65,3.5,111.0,1.4,,,
74,54,62,13,0.65,3.5,111.0,1.4,,,
74,54,62,13,0.65,3.5,112.0,1.4,,,
74,54,62,13,0.65,3.5,111.0,1.4,,,
74,54,62,13,0.65,3.5,112.0,1.4,,,
72,54,61,13,0.66,3.5,111.0,1.4,,,
72,53,60,13,0.66,3.5,111.0,1.4,,,
72,54,61,13,0.66,3.5,111.0,1.4,,,
72,54,61,13,0.66,3.5,111.0,1.4,,,
73,54,61,13,0.66,3.5,112.0,1.4,,,
73,54,62,13,0.66,3.5,111.0,1.4,,,
73,54,62,13,0.66,3.5,111.0,1.4,,,
73,54,62,13,0.66,3.5,111.0,1.4,,,
75,55,63,13,0.66,3.5,112.0,1.4,,,
75,55,63,13,0.66,3.5,111.0,1.4,,,
75,55,63,13,0.66,3.5,111.0,1.4,,,
75,55,63,13,0.66,3.5,111.0,1.4,,,
75,55,63,13,0.66,3.5,111.0,1.4,,,
74,55,62,13,0.66,3.5,111.0,1.4,,,
74,55,62,13,0.67,3.5,111.0,1.5,,,
74,55,62,13,0.68,3.5,110.0,1.5,,,
74,54,62,13,0.68,3.5,110.0,1.5,,,
74,54,62,13,0.68,3.5,110.0,1.5,,,
74,55,62,13,0.68,3.5,110.0,1.5,,,
75,55,63,13,0.68,3.5,111.0,1.5,,,
75,55,63,13,0.68,3.5,111.0,1.5,,,
75,55,63,13,0.68,3.5,111.0,1.5,,,
75,55,63,13,0.68,3.5,111.0,1.5,,,
75,55,63,13,0.68,3.5,111.0,1.5,,,
75,55,63,13,0.68,3.5,111.0,1.5,,,
76,55,63,13,0.68,3.5,111.0,1.5,,,
76,56,64,13,0.68,3.5,112.0,1.5,,,
75,55,63,13,0.68,3.5,111.0,1.5,,,
75,55,63,13,0.67,3.5,112.0,1.5,,,
75,55,63,13,0.67,3.5,111.0,1.5,,,
76,55,63,13,0.67,3.5,111.0,1.5,,,
76,56,64,13,0.67,3.5,111.0,1.5,,,
76,56,64,13,0.67,3.5,111.0,1.5,,,
75,55,63,13,0.67,3.5,111.0,1.5,,,
75,55,63,13,0.67,3.5,111.0,1.5,,,
75,55,63,13,0.67,3.5,111.0,1.5,,,
76,55,63,13,0.67,3.5,111.0,1.5,,,
76,55,63,13,0.67,3.5,111.0,1.5,,,
76,56,64,13,0.67,3.5,110.0,1.5,,,
77,56,65,13,0.67,3.5,110.0,1.5,,,
76,56,64,13,0.67,3.5,111.0,1.5,,,
76,55,63,13,0.67,3.5,110.0,1.5,,,
75,55,63,13,0.67,3.5,110.0,1.5,,,
75,55,63,13,0.67,3.5,110.0,1.5,,,
75,55,63,13,0.67,3.5,110.0,1.5,,,
75,55,63,13,0.67,3.5,110.0,1.5,,,
75,55,63,13,0.67,3.5,111.0,1.5,,,
76,56,64,13,0.67,3.5,111.0,1.5,,,
76,55,63,13,0.67,3.5,111.0,1.5,,,
75,55,63,13,0.67,3.5,111.0,1.5,,,
74,55,63,13,0.67,3.5,111.0,1.5,,,
75,55,63,13,0.66,3.5,111.0,1.5,,,
75,55,63,13,0.66,3.5,110.0,1.5,,,
76,55,63,13,0.66,3.5,110.0,1.5,,,
77,56,64,13,0.66,3.5,110.0,1.5,,,
77,56,65,13,0.66,3.5,110.0,1.5,,,
76,55,64,13,0.67,3.5,111.0,1.5,,,
75,55,63,13,0.67,3.5,111.0,1.5,,,
75,55,63,13,0.67,3.5,111.0,1.5,,,
71,53,60,13,0.67,3.5,111.0,1.4,,,
71,53,60,14,0.67,3.5,111.0,1.4,,,
71,53,60,14,0.67,3.5,111.0,1.4,,,
70,53,59,14,0.67,3.5,110.0,1.4,,,
70,53,59,14,0.67,3.4,110.0,1.4,,,
70,53,59,14,0.67,3.4,110.0,1.4,,,
71,53,60,14,0.67,3.4,110.0,1.4,,,
71,53,60,14,0.67,3.4,110.0,1.4,,,
71,53,60,14,0.67,3.4,111.0,1.4,,,
71,53,60,14,0.67,3.4,111.0,1.4,,,
71,53,60,14,0.67,3.4,111.0,1.4,,,
71,53,60,14,0.67,3.4,110.0,1.4,,,
71,53,60,14,0.67,3.4,110.0,1.4,,,
72,53,60,14,0.67,3.4,110.0,1.4,,,
72,54,61,14,0.67,3.4,110.0,1.4,,,
72,53,60,14,0.67,3.4,110.0,1.4,,,
72,53,60,14,0.67,3.4,110.0,1.4,,,
72,53,60,14,0.67,3.4,110.0,1.4,,,
72,53,60,14,0.67,3.4,109.0,1.4,,,
72,53,60,14,0.67,3.4,109.0,1.4,,,
71,53,60,14,0.67,3.4,109.0,1.4,,,
